片名, 票房(万元)
奔腾岁月,14.55
奔跑吧，麋鹿,28.06
奥本海默,44556.09
女人世界,151.57
女王的柯基,1535.45
女生规则,243.54
好东西,52430.00
好像也没那么热血沸腾,16432.10
好好回家,0.81
好小子，好功夫,244.59
好想去你的世界爱你,9555.83
好运来,5334.25
如影随心,2358.90
如果声音不记得,33474.72
如果有一天我将会离开你,415.98
如果爱就表白,8.08
如梦晋阳,348.34
如父如子,255.83
妈妈不再摇滚,67.24
妈妈和七天的时间,29.01
妈妈的礼物,26.75
妈妈的神奇小子,1513.51
妈妈！,7491.59
妈妈，我不想坐牢,3.05
妈妈，我想你,113.05
妈祖回家,32.92
妈阁是座城,5190.17
妖怪手表：永远的朋友,82.49
妙先生,1134.40
始发站,331.28
始石疯暴,0.95
姜子牙,160161.81
姥姥的外孙,12427.61
威尼斯惊魂夜,4370.97
婚事,0.86
婚前72小时,5.04
婚前故事,150.85
嫌疑人之长夜将尽,24.49
孔秀,221.09
孤军,2726.36
孤山,0.47
孤山魅影,116.50
孤星计划,7024.58
孤注一掷,330812.63
孤独的守望者,1.96
学区房72小时,111.54
学爸,61368.05
宇宙护卫队：风暴力量,1976.39
宇宙探索编辑部,6669.20
守岛人,12043.84
守望人,83.77
守望相思树,326.95
守望青春,1452.13
守灵,315.62
守龙者,74.05
安国夫人（京剧）,27.85
安家,15.06
安阳劫,0.56
安魂,2.98
完美受害人,1310.00
完美的日子,248.78
完美音符,178.19
宝可梦：皮卡丘和可可的冒险,5126.03
宝可梦：超梦的逆袭 进化,1618.01
宝莱坞机器人2.0：重生归来,2109.53
宝贝追踪,9.42
宠爱,68292.85
宠物联盟,1103.48
客从何处来,1.42
家和万事惊,3247.26
家园·重返地球之战,229.01
家园梦想,21.34
家有儿女之神犬当家,48.57
家有婆媳,1.00
寂静之地2,24862.77
寂静之地：入侵日,12972.17
密室逃生,23170.96
密室逃生2,6860.98
密室逃脱,424.79
密林诡影,12.90
密案1922,320.90
密语者,6.20
富贵东西,64.83
富都青年,342.49
寒单,17.14
对联神童解大绅,2.09
寻人启示录,3.43
寻找兰小草,7.08
寻找消失的恋人,9.16
寻汉计,398.40
寻秘自然：地球往事,38.32
寻秘自然：无形之力,14.23
寻龙传说,12708.46
封口之谜,2.67
封口者,226.04
封神第一部：朝歌风云,257019.16
小Q,9974.89
小丑2：双重妄想,5352.57
小丑奇缘,2.74
小伟,140.97
小倩,838.44
小公主艾薇拉与神秘王国2,511.00
小初,0.79
小园林,8.70
小妇人,4735.91
小孩不笨3,153.47
小小乔,15.39
小小家长,1.37
小小港湾,28.98
小小的愿望,27722.82
小小足球队,1.07
小巷管家,2468.84
小猪佩奇过大年,12489.14
小石头下乡记,4.08
小破孩大状元,579.90
小羊肖恩2：末日农场,1684.11
小美人鱼,2650.67
