筛选结果 (区间: 2023-09-01 ~ 2024-9-30)
============================================================

【烂片 (高开低走)】 共 146 部:
  - 《记忆消失前》 (2024-09-20): 总票房 0.00亿, 首日排片 17.0%
  - 《七声》 (2023-09-13): 总票房 0.00亿, 首日排片 21.0%
  - 《密语者》 (2024-08-31): 总票房 0.00亿, 首日排片 15.0%
  - 《白昼如焚》 (2024-09-25): 总票房 0.00亿, 首日排片 40.0%
  - 《波依拉》 (2023-12-15): 总票房 0.00亿, 首日排片 37.0%
  - 《老师，您好！》 (2024-09-10): 总票房 0.00亿, 首日排片 13.0%
  - 《没有颜色的关系》 (2024-06-17): 总票房 0.00亿, 首日排片 13.0%
  - 《高中的我们》 (2024-03-22): 总票房 0.00亿, 首日排片 63.0%
  - 《最后一夜》 (2023-12-08): 总票房 0.00亿, 首日排片 55.0%
  - 《深城树下》 (2024-01-12): 总票房 0.00亿, 首日排片 38.0%
  - 《思念爱》 (2023-11-11): 总票房 0.00亿, 首日排片 11.0%
  - 《云雾女孩》 (2024-05-17): 总票房 0.00亿, 首日排片 14.0%
  - 《朱英国》 (2023-11-13): 总票房 0.00亿, 首日排片 27.0%
  - 《极限奇援》 (2024-01-12): 总票房 0.00亿, 首日排片 16.0%
  - 《八十九分之一的凶手》 (2024-04-26): 总票房 0.00亿, 首日排片 16.0%
  - 《逆境追凶》 (2023-12-15): 总票房 0.00亿, 首日排片 12.0%
  - 《舞动奇迹》 (2024-05-24): 总票房 0.00亿, 首日排片 50.0%
  - 《青檀》 (2024-03-22): 总票房 0.00亿, 首日排片 100.0%
  - 《误闯隐形岛》 (2024-01-20): 总票房 0.00亿, 首日排片 48.0%
  - 《兄弟，请注意》 (2023-12-31): 总票房 0.00亿, 首日排片 19.0%
  - 《功夫乒乓》 (2024-04-29): 总票房 0.00亿, 首日排片 52.0%
  - 《西南东北客》 (2024-02-24): 总票房 0.00亿, 首日排片 11.0%

【黑马 (低开高走)】 共 12 部:
  - 《第二十条》 (2024-02-10): 总票房 24.49亿, 首日排片 19.49%
  - 《熊出没·逆转时空》 (2024-02-10): 总票房 19.80亿, 首日排片 11.27%
  - 《坚如磐石》 (2023-09-28): 总票房 13.48亿, 首日排片 12.0%
  - 《前任4：英年早婚》 (2023-09-28): 总票房 10.10亿, 首日排片 16.44%
  - 《志愿军：雄兵出击》 (2023-09-28): 总票房 8.27亿, 首日排片 14.58%
  - 《你想活出怎样的人生》 (2024-04-03): 总票房 7.91亿, 首日排片 19.93%
  - 《异形：夺命舰》 (2024-08-16): 总票房 7.85亿, 首日排片 14.04%
  - 《末路狂花钱》 (2024-05-01): 总票房 7.81亿, 首日排片 15.09%
  - 《莫斯科行动》 (2023-09-29): 总票房 6.62亿, 首日排片 13.57%
  - 《周处除三害》 (2024-03-01): 总票房 6.48亿, 首日排片 8.98%
  - 《九龙城寨之围城》 (2024-05-01): 总票房 6.04亿, 首日排片 9.44%
  - 《金手指》 (2023-12-30): 总票房 5.72亿, 首日排片 16.12%

